
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=8192MB psize=12 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
 51.3  27.2    0.0   21.5  1.79 179.5   48.5  0.96  4836     0   101   1.21 00:20:11    
 40.6  10.4    0.0   49.0  0.86  85.9    8.1  4.02   986     0   101   1.21 00:20:21    
 39.9  12.5    0.0   47.6  0.89  89.1    8.1  3.78   665     0   101   1.21 00:20:31    
 48.8  11.3    0.0   39.9  1.00 100.0   10.1  5.10  1014     0   101   1.21 00:20:41    
 33.7  10.8    0.0   55.6  0.76  75.8    7.8  5.29   615     0   101   1.21 00:20:51    
 47.9  12.0    0.0   40.0  1.13 112.7   11.2  4.34   880     0   101   1.21 00:21:01    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 29.1  20.1    0.0   50.8  0.83  83.2    8.5  3.48  1649     0   101   1.21 00:21:11    
 48.7  10.9    0.0   40.3  1.12 112.1   10.7  4.93   851     0   101   1.21 00:21:21    
 26.1   8.7    0.0   65.2  0.59  59.4    6.2  5.98   523     0   101   1.21 00:21:31    
 47.6  11.8    0.0   40.6  1.15 114.6   11.1  4.83  1014     0   101   1.21 00:21:41    
 28.0   8.7    0.0   63.4  0.62  62.3    7.2  5.18   610     0   101   1.21 00:21:51    
 45.1  14.1    0.0   40.8  1.15 114.9   10.1  5.33  1047     0   101   1.21 00:22:01    
 36.6  10.5    0.0   52.9  0.79  78.9    8.5  5.16   762     0   101   1.21 00:22:11    
 45.5  14.4    0.0   40.1  1.06 106.3   10.4  6.03   940     0   101   1.21 00:22:21    
 36.2   7.1    0.0   56.6  0.74  74.0    7.3  5.17   561     0   101   1.21 00:22:31    
 41.2  14.7    0.0   44.0  0.90  90.0   10.0  6.35   688     0   101   1.21 00:22:41    
 46.8   8.7    0.0   44.6  0.93  93.4    8.7  5.85   607     0   101   1.21 00:22:51    
 32.7  14.1    0.0   53.1  0.79  79.1    8.6  6.61   787     0   101   1.21 00:23:01    
 47.8  11.7    0.0   40.5  1.10 109.9   10.5  3.99   991     0   101   1.21 00:23:11    
 27.8  11.5    0.0   60.7  0.67  67.2    7.2  5.28   767     0   101   1.21 00:23:21    
 49.0  10.4    0.0   40.7  1.08 107.9   10.3  6.05   984     0   101   1.21 00:23:31    
 23.9  10.3    0.0   65.7  0.59  58.7    6.4  6.24   851     0   101   1.21 00:23:41    
 48.9  10.7    0.0   40.4  1.08 108.1   10.8  5.40   854     0   101   1.21 00:23:51    
 25.7  10.3    0.0   64.1  0.60  59.9    7.3  5.15   819     0   101   1.21 00:24:01    
 46.0  13.0    0.0   41.1  1.10 109.9   10.7  3.56   846     0   101   1.21 00:24:11    
 32.4   7.1    0.0   60.6  0.67  67.4    6.8  5.82   647     0   101   1.21 00:24:21    
 45.7  13.5    0.0   40.7  1.05 105.4    9.9  5.17   786     0   101   1.21 00:24:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 40.2   9.9    0.0   49.9  0.83  83.4    9.0  6.91   794     0   101   1.21 00:24:41    
 38.7  11.8    0.0   49.6  0.85  85.4    8.4  4.89   591     0   101   1.21 00:24:51    
 47.7  11.4    0.0   40.9  0.99  98.7    9.1  6.36   856     0   101   1.21 00:25:01    
 44.3  25.9    0.0   29.8  1.32 132.2   21.7  3.58  2108     0   101   1.21 00:25:11    
 48.8  10.8    0.0   40.5  1.08 107.5    9.6  4.24   883     0   101   1.21 00:25:21    
 30.5  11.7    0.0   57.8  0.72  72.1    7.5  4.84   599     0   101   1.21 00:25:31    
 49.2  10.4    0.0   40.5  1.06 105.8   10.2  5.68   941     0   101   1.21 00:25:41    
 29.4   9.9    0.0   60.7  0.67  66.6    7.1  6.21   674     0   101   1.21 00:25:51    
 47.6  12.4    0.0   39.9  1.11 111.1   11.4  5.00   941     0   101   1.21 00:26:01    
 28.4   7.8    0.0   63.7  0.61  60.9    7.0  5.41   637     0   101   1.21 00:26:11    
 46.4  12.9    0.0   40.7  1.07 107.1    9.9  3.78   764     0   101   1.21 00:26:21    
 38.9   9.6    0.0   51.5  0.81  81.1    8.5  4.70   738     0   101   1.21 00:26:31    
 40.8  13.9    0.0   45.4  0.91  91.5    8.8  5.70   640     0   101   1.21 00:26:41    
 48.0   8.9    0.0   43.1  0.95  95.3    9.1  5.56   619     0   101   1.21 00:26:51    
 33.0  12.6    0.1   54.3  0.76  76.3    8.0  6.86   594     0   101   1.21 00:27:01    
 47.3  13.0    0.0   39.7  1.22 122.2   13.2  3.52  1177     0   101   1.21 00:27:11    
 26.3   9.3    0.0   64.4  0.60  60.3    7.0  6.41   598     0   101   1.21 00:27:21    
 49.6   9.5    0.0   40.8  1.07 107.1   10.1  5.92   635     0   101   1.21 00:27:31    
